EmployeeNumber,Department,JobRole,Age,YearsAtCompany,OverTime,WorkLifeBalance,JobSatisfaction,RiskScore,RiskTier,PrimaryRiskFactor,PrimarySignal,SuggestedAction,ReviewCadence,AttritionFlag
622,Research & Development,Laboratory Technician,26,1,Yes,1 (Bad),4 (Very High),0.907,High (≥50%),OverTime_Yes,加班狀態,重新分配任務量，安排主管 1:1 了解 burnout 狀況,每 2 週,1
1273,Sales,Sales Representative,25,1,Yes,3 (Better),4 (Very High),0.899,High (≥50%),OverTime_Yes,加班狀態,重新分配任務量，安排主管 1:1 了解 burnout 狀況,每 2 週,1
478,Sales,Sales Representative,21,3,Yes,3 (Better),2 (Medium),0.894,High (≥50%),OverTime_Yes,加班狀態,重新分配任務量，安排主管 1:1 了解 burnout 狀況,每 2 週,1
614,Sales,Sales Representative,18,0,Yes,3 (Better),2 (Medium),0.874,High (≥50%),OverTime_Yes,加班狀態,重新分配任務量，安排主管 1:1 了解 burnout 狀況,每 2 週,1
1487,Sales,Sales Executive,29,5,No,1 (Bad),2 (Medium),0.872,High (≥50%),BusinessTravel_Travel_Frequently,頻繁出差,檢討出差頻率，評估遠距／輪替替代方案,每月,1
1494,Research & Development,Laboratory Technician,24,0,Yes,2 (Good),1 (Low),0.872,High (≥50%),OverTime_Yes,加班狀態,重新分配任務量，安排主管 1:1 了解 burnout 狀況,每 2 週,1
167,Sales,Sales Representative,19,0,Yes,2 (Good),3 (High),0.838,High (≥50%),OverTime_Yes,加班狀態,重新分配任務量，安排主管 1:1 了解 burnout 狀況,每 2 週,1
514,Research & Development,Research Scientist,30,1,Yes,3 (Better),4 (Very High),0.834,High (≥50%),JobHoppingRate,換工作頻率指數,安排主管定期 check-in,每月,1
959,Sales,Sales Representative,19,1,Yes,4 (Best),2 (Medium),0.826,High (≥50%),OverTime_Yes,加班狀態,重新分配任務量，安排主管 1:1 了解 burnout 狀況,每 2 週,1
1624,Sales,Sales Representative,18,0,Yes,4 (Best),4 (Very High),0.822,High (≥50%),OverTime_Yes,加班狀態,重新分配任務量，安排主管 1:1 了解 burnout 狀況,每 2 週,1
19,Research & Development,Laboratory Technician,28,4,Yes,3 (Better),3 (High),0.819,High (≥50%),OverTime_Yes,加班狀態,重新分配任務量，安排主管 1:1 了解 burnout 狀況,每 2 週,1
720,Sales,Sales Executive,24,2,No,3 (Better),3 (High),0.8,High (≥50%),JobHoppingRate,換工作頻率指數,安排主管定期 check-in,每月,1
